medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code,age
Bronze,3,2024-08-08,DAHLBERG/KARLSSON,SWE,X,Sailing,Mixed Dinghy,TEAM,/en/paris-2024/results/sailing/mixed-dinghy/fnl-000100--,SALX470-----SWE01,
Gold,1,2024-08-08,TITA/BANTI,ITA,X,Sailing,Mixed Multihull,TEAM,/en/paris-2024/results/sailing/mixed-multihull/fnl-000100--,SALXNACRA17-ITA01,
Silver,2,2024-08-08,MAJDALANI/BOSCO,ARG,X,Sailing,Mixed Multihull,TEAM,/en/paris-2024/results/sailing/mixed-multihull/fnl-000100--,SALXNACRA17-ARG01,
Bronze,3,2024-08-08,WILKINSON/DAWSON,NZL,X,Sailing,Mixed Multihull,TEAM,/en/paris-2024/results/sailing/mixed-multihull/fnl-000100--,SALXNACRA17-NZL01,
Gold,1,2024-08-08,Eleanor ALDRIDGE,GBR,W,Sailing,Women's Kite,ATH,/en/paris-2024/results/sailing/women-s-kite/fnl-000200--,1899728,27.0
Silver,2,2024-08-08,Lauriane NOLOT,FRA,W,Sailing,Women's Kite,ATH,/en/paris-2024/results/sailing/women-s-kite/fnl-000200--,1559512,25.0
Bronze,3,2024-08-08,Annelous LAMMERTS,NED,W,Sailing,Women's Kite,ATH,/en/paris-2024/results/sailing/women-s-kite/fnl-000200--,1970517,30.0
Gold,1,2024-08-08,Veddriq LEONARDO,INA,M,Sport Climbing,Men's Speed,ATH,/en/paris-2024/results/sport-climbing/men-s-speed/------------,1940329,27.0
Silver,2,2024-08-08,WU Peng,CHN,M,Sport Climbing,Men's Speed,ATH,/en/paris-2024/results/sport-climbing/men-s-speed/------------,1913699,21.0
Bronze,3,2024-08-08,Sam WATSON,USA,M,Sport Climbing,Men's Speed,ATH,/en/paris-2024/results/sport-climbing/men-s-speed/------------,1950309,18.0
Gold,1,2024-08-08,Ulugbek RASHITOV,UZB,M,Taekwondo,Men -68kg,HATH,/en/paris-2024/results/taekwondo/men--68kg/fnl-000100--,1887714,22.0
Silver,2,2024-08-08,Zaid KAREEM,JOR,M,Taekwondo,Men -68kg,HATH,/en/paris-2024/results/taekwondo/men--68kg/fnl-000100--,1537401,23.0
Bronze,3,2024-08-08,LIANG Yushuai,CHN,M,Taekwondo,Men -68kg,HATH,/en/paris-2024/results/taekwondo/men--68kg/repf000100--,1910367,23.0
Bronze,3,2024-08-08,Edival PONTES,BRA,M,Taekwondo,Men -68kg,HATH,/en/paris-2024/results/taekwondo/men--68kg/repf000200--,1955815,26.0
Gold,1,2024-08-08,KIM Yujin,KOR,W,Taekwondo,Women -57kg,HATH,/en/paris-2024/results/taekwondo/women--57kg/fnl-000100--,1904038,23.0
Silver,2,2024-08-08,Nahid KIYANICHANDEH,IRI,W,Taekwondo,Women -57kg,HATH,/en/paris-2024/results/taekwondo/women--57kg/fnl-000100--,1536067,25.0
Bronze,3,2024-08-08,Skylar PARK,CAN,W,Taekwondo,Women -57kg,HATH,/en/paris-2024/results/taekwondo/women--57kg/repf000100--,1966505,25.0
